,종목명,단축코드,확장코드,ETF구분(1:ETF|2:ETN),상한가,하한가,전일가,주문수량단위,기준가,구분(1:코스피|2:코스닥),증권그룹,기업인수목적회사여부,filler(미사용)
0,동화약품,000020,KR7000020008,0,12900,6960,9930,00001,9930,1,01,N,
1,KR모터스,000040,KR7000040006,0,871,469,670,00001,670,1,01,N,
2,경방,000050,KR7000050005,0,11840,6380,9110,00001,9110,1,01,N,
3,삼양홀딩스,000070,KR7000070003,0,91100,49100,70100,00001,70100,1,01,N,
4,삼양홀딩스우,000075,KR7000071001,0,67300,36300,51800,00001,51800,1,01,N,
5,하이트진로,000080,KR7000080002,0,24950,13450,19210,00001,19210,1,01,N,
6,하이트진로2우B,000087,KR7000082008,0,19570,10550,15060,00001,15060,1,01,N,
7,유한양행,000100,KR7000100008,0,92100,49700,70900,00001,70900,1,01,N,
8,유한양행우,000105,KR7000101006,0,79900,43100,61500,00001,61500,1,01,N,
9,CJ대한통운,000120,KR7000120006,0,103600,55800,79700,00001,79700,1,01,N,
10,하이트진로홀딩스,000140,KR7000140004,0,11120,6000,8560,00001,8560,1,01,N,
11,하이트진로홀딩스우,000145,KR7000141002,0,15920,8580,12250,00001,12250,1,01,N,
12,두산,000150,KR7000150003,0,140400,75600,108000,00001,108000,1,01,N,
13,두산우,000155,KR7000151001,0,70500,38100,54300,00001,54300,1,01,N,
14,두산2우B,000157,KR7000152009,0,124800,67200,96000,00001,96000,1,01,N,
15,성창기업지주,000180,KR7000180000,0,2665,1435,2050,00001,2050,1,01,N,
16,DL,000210,KR7000210005,0,49900,26900,38400,00001,38400,1,01,N,
17,DL우,000215,KR7000211003,0,25450,13720,19600,00001,19600,1,01,N,
18,유유제약,000220,KR7000220004,0,6230,3360,4795,00001,4795,1,01,N,
19,유유제약1우,000225,KR7000221002,0,5790,3125,4460,00001,4460,1,01,N,
20,유유제약2우B,000227,KR7000222000,0,15560,8380,11970,00001,11970,1,01,N,
21,일동홀딩스,000230,KR7000230003,0,17080,9200,13140,00001,13140,1,01,N,
22,한국앤컴퍼니,000240,KR7000240002,0,14060,7580,10820,00001,10820,1,01,N,
23,기아,000270,KR7000270009,0,102500,55300,78900,00001,78900,1,01,N,
24,대유플러스,000300,KR7000300004,0,1047,565,806,00001,806,1,01,N,
25,노루홀딩스,000320,KR7000320002,0,14500,7820,11160,00001,11160,1,01,N,
26,노루홀딩스우,000325,KR7000321000,0,40300,21700,31000,00001,31000,1,01,N,
27,한화손해보험,000370,KR7000370007,0,5340,2880,4110,00001,4110,1,01,N,
28,삼화페인트,000390,KR7000390005,0,8160,4400,6280,00001,6280,1,01,N,
29,롯데손해보험,000400,KR7000400002,0,2290,1235,1763,00001,1763,1,01,N,
30,대원강업,000430,KR7000430009,0,7570,4090,5830,00001,5830,1,01,N,
31,CR홀딩스,000480,KR7000480004,0,10760,5800,8280,00001,8280,1,01,N,
32,대동,000490,KR7000490003,0,20900,11280,16110,00001,16110,1,01,N,
33,가온전선,000500,KR7000500009,0,26500,14300,20400,00001,20400,1,01,N,
34,삼일제약,000520,KR7000520007,0,9990,5390,7690,00001,7690,1,01,N,
35,흥국화재,000540,KR7000540005,0,3840,2070,2955,00001,2955,1,01,N,
36,흥국화재우,000545,KR7000541003,0,6890,3710,5300,00001,5300,1,01,N,
37,CS홀딩스,000590,KR7000590000,0,75900,40900,58400,00001,58400,1,01,N,
38,동아쏘시오홀딩스,000640,KR7000640003,0,122900,66300,94600,00001,94600,1,01,N,
39,천일고속,000650,KR7000650002,0,65200,35200,50200,00001,50200,1,01,N,
40,SK하이닉스,000660,KR7000660001,0,153600,82800,118200,00001,118200,1,01,N,
