,종목명,단축코드,확장코드,ETF구분(1:ETF|2:ETN),상한가,하한가,전일가,주문수량단위,기준가,구분(1:코스피|2:코스닥),증권그룹,기업인수목적회사여부,filler(미사용)
0,동화약품,000020,KR7000020008,0,13010,7010,10010,00001,10010,1,01,N,
1,KR모터스,000040,KR7000040006,0,781,421,601,00001,601,1,01,N,
2,경방,000050,KR7000050005,0,11750,6330,9040,00001,9040,1,01,N,
3,삼양홀딩스,000070,KR7000070003,0,90600,48800,69700,00001,69700,1,01,N,
4,삼양홀딩스우,000075,KR7000071001,0,67200,36200,51700,00001,51700,1,01,N,
5,하이트진로,000080,KR7000080002,0,24800,13380,19110,00001,19110,1,01,N,
6,하이트진로2우B,000087,KR7000082008,0,19690,10610,15150,00001,15150,1,01,N,
7,유한양행,000100,KR7000100008,0,92800,50000,71400,00001,71400,1,01,N,
8,유한양행우,000105,KR7000101006,0,79900,43100,61500,00001,61500,1,01,N,
9,CJ대한통운,000120,KR7000120006,0,102900,55500,79200,00001,79200,1,01,N,
10,하이트진로홀딩스,000140,KR7000140004,0,11060,5960,8510,00001,8510,1,01,N,
11,하이트진로홀딩스우,000145,KR7000141002,0,15920,8580,12250,00001,12250,1,01,N,
12,두산,000150,KR7000150003,0,138400,74600,106500,00001,106500,1,01,N,
13,두산우,000155,KR7000151001,0,71600,38600,55100,00001,55100,1,01,N,
14,두산2우B,000157,KR7000152009,0,124400,67000,95700,00001,95700,1,01,N,
15,성창기업지주,000180,KR7000180000,0,2615,1415,2015,00001,2015,1,01,N,
16,DL,000210,KR7000210005,0,49450,26650,38050,00001,38050,1,01,N,
17,DL우,000215,KR7000211003,0,25500,13750,19640,00001,19640,1,01,N,
18,유유제약,000220,KR7000220004,0,6120,3300,4710,00001,4710,1,01,N,
19,유유제약1우,000225,KR7000221002,0,5730,3090,4410,00001,4410,1,01,N,
20,유유제약2우B,000227,KR7000222000,0,15360,8280,11820,00001,11820,1,01,N,
21,일동홀딩스,000230,KR7000230003,0,19250,10370,14810,00001,14810,1,01,N,
22,한국앤컴퍼니,000240,KR7000240002,0,14140,7620,10880,00001,10880,1,01,N,
23,기아,000270,KR7000270009,0,101700,54900,78300,00001,78300,1,01,N,
24,대유플러스,000300,KR7000300004,0,1036,558,797,00001,797,1,01,N,
25,노루홀딩스,000320,KR7000320002,0,14300,7700,11000,00001,11000,1,01,N,
26,노루홀딩스우,000325,KR7000321000,0,36750,19850,28300,00001,28300,1,01,N,
27,한화손해보험,000370,KR7000370007,0,5270,2845,4060,00001,4060,1,01,N,
28,삼화페인트,000390,KR7000390005,0,7980,4300,6140,00001,6140,1,01,N,
29,롯데손해보험,000400,KR7000400002,0,2290,1236,1765,00001,1765,1,01,N,
30,대원강업,000430,KR7000430009,0,7340,3960,5650,00001,5650,1,01,N,
31,CR홀딩스,000480,KR7000480004,0,10680,5760,8220,00001,8220,1,01,N,
32,대동,000490,KR7000490003,0,23150,12480,17820,00001,17820,1,01,N,
33,가온전선,000500,KR7000500009,0,26500,14300,20400,00001,20400,1,01,N,
34,삼일제약,000520,KR7000520007,0,9750,5250,7500,00001,7500,1,01,N,
35,흥국화재,000540,KR7000540005,0,3840,2070,2955,00001,2955,1,01,N,
36,흥국화재우,000545,KR7000541003,0,6890,3710,5300,00001,5300,1,01,N,
37,CS홀딩스,000590,KR7000590000,0,74700,40300,57500,00001,57500,1,01,N,
38,동아쏘시오홀딩스,000640,KR7000640003,0,121900,65700,93800,00001,93800,1,01,N,
39,천일고속,000650,KR7000650002,0,65700,35500,50600,00001,50600,1,01,N,
40,SK하이닉스,000660,KR7000660001,0,154000,83000,118500,00001,118500,1,01,N,
