,종목명,단축코드,확장코드,ETF구분(1:ETF|2:ETN),상한가,하한가,전일가,주문수량단위,기준가,구분(1:코스피|2:코스닥),증권그룹,기업인수목적회사여부,filler(미사용)
0,동화약품,000020,KR7000020008,0,12960,6980,9970,00001,9970,1,01,N,
1,KR모터스,000040,KR7000040006,0,647,349,498,00001,498,1,01,N,
2,경방,000050,KR7000050005,0,11550,6230,8890,00001,8890,1,01,N,
3,삼양홀딩스,000070,KR7000070003,0,90400,48800,69600,00001,69600,1,01,N,
4,삼양홀딩스우,000075,KR7000071001,0,67600,36400,52000,00001,52000,1,01,N,
5,하이트진로,000080,KR7000080002,0,25100,13540,19330,00001,19330,1,01,N,
6,하이트진로2우B,000087,KR7000082008,0,19550,10530,15040,00001,15040,1,01,N,
7,유한양행,000100,KR7000100008,0,91600,49400,70500,00001,70500,1,01,N,
8,유한양행우,000105,KR7000101006,0,79900,43100,61500,00001,61500,1,01,N,
9,CJ대한통운,000120,KR7000120006,0,106900,57700,82300,00001,82300,1,01,N,
10,하이트진로홀딩스,000140,KR7000140004,0,11180,6020,8600,00001,8600,1,01,N,
11,하이트진로홀딩스우,000145,KR7000141002,0,15950,8590,12270,00001,12270,1,01,N,
12,두산,000150,KR7000150003,0,147500,79500,113500,00001,113500,1,01,N,
13,두산우,000155,KR7000151001,0,74100,39900,57000,00001,57000,1,01,N,
14,두산2우B,000157,KR7000152009,0,123500,66500,95000,00001,95000,1,01,N,
15,성창기업지주,000180,KR7000180000,0,2635,1425,2030,00001,2030,1,01,N,
16,DL,000210,KR7000210005,0,49100,26500,37800,00001,37800,1,01,N,
17,DL우,000215,KR7000211003,0,25800,13900,19850,00001,19850,1,01,N,
18,유유제약,000220,KR7000220004,0,6240,3360,4800,00001,4800,1,01,N,
19,유유제약1우,000225,KR7000221002,0,5880,3175,4530,00001,4530,1,01,N,
20,유유제약2우B,000227,KR7000222000,0,15830,8530,12180,00001,12180,1,01,N,
21,일동홀딩스,000230,KR7000230003,0,13060,7040,10050,00001,10050,1,01,N,
22,한국앤컴퍼니,000240,KR7000240002,0,14180,7640,10910,00001,10910,1,01,N,
23,기아,000270,KR7000270009,0,103600,55800,79700,00001,79700,1,01,N,
24,대유플러스,000300,KR7000300004,0,1047,565,806,00001,806,1,01,N,
25,노루홀딩스,000320,KR7000320002,0,15040,8100,11570,00001,11570,1,01,N,
26,노루홀딩스우,000325,KR7000321000,0,39000,21000,30000,00001,30000,1,01,N,
27,한화손해보험,000370,KR7000370007,0,5360,2890,4125,00001,4125,1,01,N,
28,삼화페인트,000390,KR7000390005,0,8240,4440,6340,00001,6340,1,01,N,
29,롯데손해보험,000400,KR7000400002,0,2290,1236,1765,00001,1765,1,01,N,
30,대원강업,000430,KR7000430009,0,7830,4230,6030,00001,6030,1,01,N,
31,CR홀딩스,000480,KR7000480004,0,10850,5850,8350,00001,8350,1,01,N,
32,대동,000490,KR7000490003,0,13980,7540,10760,00001,10760,1,01,N,
33,가온전선,000500,KR7000500009,0,29250,15750,22500,00001,22500,1,01,N,
34,삼일제약,000520,KR7000520007,0,9410,5070,7240,00001,7240,1,01,N,
35,흥국화재,000540,KR7000540005,0,3840,2070,2955,00001,2955,1,01,N,
36,흥국화재우,000545,KR7000541003,0,6660,3600,5130,00001,5130,1,01,N,
37,CS홀딩스,000590,KR7000590000,0,74200,40000,57100,00001,57100,1,01,N,
38,동아쏘시오홀딩스,000640,KR7000640003,0,126600,68200,97400,00001,97400,1,01,N,
39,천일고속,000650,KR7000650002,0,66500,35900,51200,00001,51200,1,01,N,
40,SK하이닉스,000660,KR7000660001,0,156000,84000,120000,00001,120000,1,01,N,
41,영풍,000670,KR7000670000,0,700000,378000,539000,00001,539000,1,01,N,
42,LS네트웍스,000680,KR7000680009,0,5940,3200,4570,00001,4570,1,01,N,
43,유수홀딩스,000700,KR7000700005,0,7650,4130,5890,00001,5890,1,01,N,
44,현대건설,000720,KR7000720003,0,46250,24950,35600,00001,35600,1,01,N,
45,현대건설우,000725,KR7000721001,0,68500,36900,52700,00001,52700,1,01,N,
46,이화산업,000760,KR7000760009,0,20950,11300,16130,00001,16130,1,01,N,
47,삼성화재,000810,KR7000810002,0,320000,173000,246500,00001,246500,1,01,N,
48,삼성화재우,000815,KR7000811000,0,235000,126700,180900,00001,180900,1,01,N,
49,화천기공,000850,KR7000850008,0,46300,25000,35650,00001,35650,1,01,N,
50,강남제비스코,000860,KR7000860007,0,29050,15650,22350,00001,22350,1,01,N,
51,한화,000880,KR7000880005,0,32600,17600,25100,00001,25100,1,01,N,
52,한화우,000885,KR7000881003,0,39150,21150,30150,00001,30150,1,01,N,
53,한화3우B,00088K,KR700088K015,0,17960,9680,13820,00001,13820,1,01,N,
54,보해양조,000890,KR7000890004,0,707,381,544,00001,544,1,01,N,
55,유니온,000910,KR7000910000,0,7250,3910,5580,00001,5580,1,01,N,
56,전방,000950,KR7000950006,0,31200,16800,24000,00001,24000,1,01,N,
57,한국주철관,000970,KR7000970004,0,8770,4730,6750,00001,6750,1,01,N,
58,DB하이텍,000990,KR7000990002,0,71100,38300,54700,00001,54700,1,01,N,
59,페이퍼코리아,001020,KR7001020007,0,1144,616,880,00001,880,1,01,N,
60,CJ,001040,KR7001040005,0,95100,51300,73200,00001,73200,1,01,N,
61,CJ우,001045,KR7001041003,0,59400,32000,45700,00001,45700,1,01,N,
