,종목명,단축코드,확장코드,ETF구분(1:ETF|2:ETN),상한가,하한가,전일가,주문수량단위,기준가,구분(1:코스피|2:코스닥),증권그룹,기업인수목적회사여부,filler(미사용)
0,동화약품,000020,KR7000020008,0,12790,6890,9840,00001,9840,1,01,N,
1,KR모터스,000040,KR7000040006,0,656,354,505,00001,505,1,01,N,
2,경방,000050,KR7000050005,0,11570,6230,8900,00001,8900,1,01,N,
3,삼양홀딩스,000070,KR7000070003,0,91000,49000,70000,00001,70000,1,01,N,
4,삼양홀딩스우,000075,KR7000071001,0,67900,36700,52300,00001,52300,1,01,N,
5,하이트진로,000080,KR7000080002,0,25100,13530,19320,00001,19320,1,01,N,
6,하이트진로2우B,000087,KR7000082008,0,19530,10530,15030,00001,15030,1,01,N,
7,유한양행,000100,KR7000100008,0,91600,49400,70500,00001,70500,1,01,N,
8,유한양행우,000105,KR7000101006,0,79900,43100,61500,00001,61500,1,01,N,
9,CJ대한통운,000120,KR7000120006,0,107200,57800,82500,00001,82500,1,01,N,
10,하이트진로홀딩스,000140,KR7000140004,0,11120,6000,8560,00001,8560,1,01,N,
11,하이트진로홀딩스우,000145,KR7000141002,0,15860,8540,12200,00001,12200,1,01,N,
12,두산,000150,KR7000150003,0,145700,78500,112100,00001,112100,1,01,N,
13,두산우,000155,KR7000151001,0,73400,39600,56500,00001,56500,1,01,N,
14,두산2우B,000157,KR7000152009,0,122900,66300,94600,00001,94600,1,01,N,
15,성창기업지주,000180,KR7000180000,0,2665,1435,2050,00001,2050,1,01,N,
16,DL,000210,KR7000210005,0,50700,27300,39000,00001,39000,1,01,N,
17,DL우,000215,KR7000211003,0,25750,13890,19830,00001,19830,1,01,N,
18,유유제약,000220,KR7000220004,0,6270,3385,4830,00001,4830,1,01,N,
19,유유제약1우,000225,KR7000221002,0,5950,3210,4580,00001,4580,1,01,N,
20,유유제약2우B,000227,KR7000222000,0,15600,8400,12000,00001,12000,1,01,N,
21,일동홀딩스,000230,KR7000230003,0,13050,7030,10040,00001,10040,1,01,N,
22,한국앤컴퍼니,000240,KR7000240002,0,14330,7730,11030,00001,11030,1,01,N,
23,기아,000270,KR7000270009,0,104000,56000,80000,00001,80000,1,01,N,
24,대유플러스,000300,KR7000300004,0,1043,563,803,00001,803,1,01,N,
25,노루홀딩스,000320,KR7000320002,0,14930,8050,11490,00001,11490,1,01,N,
26,노루홀딩스우,000325,KR7000321000,0,44850,24150,34500,00001,34500,1,01,N,
27,한화손해보험,000370,KR7000370007,0,5370,2895,4135,00001,4135,1,01,N,
28,삼화페인트,000390,KR7000390005,0,8290,4470,6380,00001,6380,1,01,N,
29,롯데손해보험,000400,KR7000400002,0,2290,1235,1764,00001,1764,1,01,N,
30,대원강업,000430,KR7000430009,0,7810,4210,6010,00001,6010,1,01,N,
31,CR홀딩스,000480,KR7000480004,0,10760,5800,8280,00001,8280,1,01,N,
32,대동,000490,KR7000490003,0,18170,9790,13980,00001,13980,1,01,N,
33,가온전선,000500,KR7000500009,0,28200,15200,21700,00001,21700,1,01,N,
34,삼일제약,000520,KR7000520007,0,9620,5180,7400,00001,7400,1,01,N,
35,흥국화재,000540,KR7000540005,0,3835,2065,2950,00001,2950,1,01,N,
36,흥국화재우,000545,KR7000541003,0,6920,3740,5330,00001,5330,1,01,N,
37,CS홀딩스,000590,KR7000590000,0,74800,40400,57600,00001,57600,1,01,N,
38,동아쏘시오홀딩스,000640,KR7000640003,0,124100,66900,95500,00001,95500,1,01,N,
39,천일고속,000650,KR7000650002,0,65500,35300,50400,00001,50400,1,01,N,
40,SK하이닉스,000660,KR7000660001,0,154900,83500,119200,00001,119200,1,01,N,
41,영풍,000670,KR7000670000,0,711000,383000,547000,00001,547000,1,01,N,
42,LS네트웍스,000680,KR7000680009,0,5720,3080,4400,00001,4400,1,01,N,
43,유수홀딩스,000700,KR7000700005,0,7690,4150,5920,00001,5920,1,01,N,
44,현대건설,000720,KR7000720003,0,47350,25550,36450,00001,36450,1,01,N,
45,현대건설우,000725,KR7000721001,0,68900,37100,53000,00001,53000,1,01,N,
46,이화산업,000760,KR7000760009,0,20900,11270,16100,00001,16100,1,01,N,
47,삼성화재,000810,KR7000810002,0,318500,171500,245000,00001,245000,1,01,N,
48,삼성화재우,000815,KR7000811000,0,234000,126000,180000,00001,180000,1,01,N,
49,화천기공,000850,KR7000850008,0,46300,25000,35650,00001,35650,1,01,N,
50,강남제비스코,000860,KR7000860007,0,28700,15500,22100,00001,22100,1,01,N,
51,한화,000880,KR7000880005,0,33600,18100,25850,00001,25850,1,01,N,
52,한화우,000885,KR7000881003,0,39750,21450,30600,00001,30600,1,01,N,
53,한화3우B,00088K,KR700088K015,0,18100,9760,13930,00001,13930,1,01,N,
54,보해양조,000890,KR7000890004,0,699,377,538,00001,538,1,01,N,
55,유니온,000910,KR7000910000,0,7370,3970,5670,00001,5670,1,01,N,
56,전방,000950,KR7000950006,0,31200,16800,24000,00001,24000,1,01,N,
57,한국주철관,000970,KR7000970004,0,8760,4720,6740,00001,6740,1,01,N,
58,DB하이텍,000990,KR7000990002,0,70200,37800,54000,00001,54000,1,01,N,
59,페이퍼코리아,001020,KR7001020007,0,1185,639,912,00001,912,1,01,N,
