,종목명,단축코드,확장코드,ETF구분(1:ETF|2:ETN),상한가,하한가,전일가,주문수량단위,기준가,구분(1:코스피|2:코스닥),증권그룹,기업인수목적회사여부,filler(미사용)
0,동화약품,000020,KR7000020008,0,12980,7000,9990,00001,9990,1,01,N,
1,KR모터스,000040,KR7000040006,0,807,435,621,00001,621,1,01,N,
2,경방,000050,KR7000050005,0,11810,6370,9090,00001,9090,1,01,N,
3,삼양홀딩스,000070,KR7000070003,0,90800,49000,69900,00001,69900,1,01,N,
4,삼양홀딩스우,000075,KR7000071001,0,66900,36100,51500,00001,51500,1,01,N,
5,하이트진로,000080,KR7000080002,0,25200,13580,19390,00001,19390,1,01,N,
6,하이트진로2우B,000087,KR7000082008,0,19760,10640,15200,00001,15200,1,01,N,
7,유한양행,000100,KR7000100008,0,91000,49000,70000,00001,70000,1,01,N,
8,유한양행우,000105,KR7000101006,0,79600,43000,61300,00001,61300,1,01,N,
9,CJ대한통운,000120,KR7000120006,0,105300,56700,81000,00001,81000,1,01,N,
10,하이트진로홀딩스,000140,KR7000140004,0,11120,6000,8560,00001,8560,1,01,N,
11,하이트진로홀딩스우,000145,KR7000141002,0,15860,8540,12200,00001,12200,1,01,N,
12,두산,000150,KR7000150003,0,145600,78400,112000,00001,112000,1,01,N,
13,두산우,000155,KR7000151001,0,72100,38900,55500,00001,55500,1,01,N,
14,두산2우B,000157,KR7000152009,0,125500,67700,96600,00001,96600,1,01,N,
15,성창기업지주,000180,KR7000180000,0,2720,1470,2095,00001,2095,1,01,N,
16,DL,000210,KR7000210005,0,50100,27050,38600,00001,38600,1,01,N,
17,DL우,000215,KR7000211003,0,25800,13900,19850,00001,19850,1,01,N,
18,유유제약,000220,KR7000220004,0,6240,3365,4805,00001,4805,1,01,N,
19,유유제약1우,000225,KR7000221002,0,5790,3125,4460,00001,4460,1,01,N,
20,유유제약2우B,000227,KR7000222000,0,15370,8290,11830,00001,11830,1,01,N,
21,일동홀딩스,000230,KR7000230003,0,13140,7080,10110,00001,10110,1,01,N,
22,한국앤컴퍼니,000240,KR7000240002,0,14140,7620,10880,00001,10880,1,01,N,
23,기아,000270,KR7000270009,0,102800,55400,79100,00001,79100,1,01,N,
24,대유플러스,000300,KR7000300004,0,1053,567,810,00001,810,1,01,N,
25,노루홀딩스,000320,KR7000320002,0,14720,7940,11330,00001,11330,1,01,N,
26,노루홀딩스우,000325,KR7000321000,0,41700,22500,32100,00001,32100,1,01,N,
27,한화손해보험,000370,KR7000370007,0,5290,2855,4075,00001,4075,1,01,N,
28,삼화페인트,000390,KR7000390005,0,8250,4450,6350,00001,6350,1,01,N,
29,롯데손해보험,000400,KR7000400002,0,2290,1235,1764,00001,1764,1,01,N,
30,대원강업,000430,KR7000430009,0,7780,4200,5990,00001,5990,1,01,N,
31,CR홀딩스,000480,KR7000480004,0,10680,5760,8220,00001,8220,1,01,N,
32,대동,000490,KR7000490003,0,20900,11280,16110,00001,16110,1,01,N,
